"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
INTC,45.39,-0.63,36233700,45.62,46.55,47.78,50.21,52.29,52.80,53.18,49.20,49.89,53.76,0,0,-0.39,-0.25,0.46,
MRO,4.13,-3.73,33393300,4.16,4.16,4.18,4.55,5.23,5.55,5.90,4.16,4.57,5.28,0,0,-0.0067,-0.01,23.24,
MSFT,223.72,0.19,25231900,215.33,213.61,212.87,210.57,203.38,200.13,196.77,214.23,212.35,205.98,0,0,-0.24,-0.08,-2.38,
PFE,36.40,0.03,22647700,36.47,36.56,36.65,36.74,36.64,36.64,36.68,36.86,36.94,36.43,0,0,-0.0081,0.0016,7.69,
OXY,10.01,-4.39,21645300,9.85,9.81,9.92,11.32,14.17,15.52,17.01,9.89,11.07,14.03,0,0,-0.06,-0.06,22.18,
KEY,12.82,-2.58,21146200,12.99,12.97,12.91,12.66,12.77,12.92,13.12,12.95,12.58,12.49,0,0,0.01,0.02,18.56,
GM,37.47,0.89,18089200,36.02,35.48,34.70,32.04,30.34,30.13,30.08,34.74,31.73,29.15,0,0,0.24,0.22,3.98,
HBI,12.85,-3.60,14480000,15.08,15.71,16.08,15.77,14.77,14.53,14.36,16.61,16.09,14.29,0,0,-0.01,0.01,-0.31,
KMI,11.48,-3.53,14255400,11.86,12.03,12.22,12.92,13.86,14.21,14.55,12.36,12.95,14.04,0,0,-0.04,-0.03,7.14,
NCLH,16.97,-1.62,14037000,16.67,16.66,16.70,16.69,18.22,19.36,20.68,16.69,16.77,16.62,0,0,-0.04,-0.03,26.75,
MU,55.16,1.06,13922600,52.80,52.27,51.73,50.09,49.30,49.12,48.95,52.09,48.77,49.23,0,0,0.12,0.13,1.45,
JPM,102.96,-1.33,12552800,101.71,101.13,100.63,99.64,100.33,101.02,101.80,100.82,99.54,98.95,0,0,0.04,0.07,13.54,
HST,10.49,-4.03,12549800,10.84,10.89,10.95,11.10,11.49,11.71,11.97,10.97,11.13,11.33,0,0,-0.02,-0.02,30.03,
