"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
PFE,39.20,7.69,217904600,37.16,36.97,36.89,36.82,36.68,36.68,36.71,36.98,36.96,36.45,0,0,-0.01,-0.0010,
NCLH,21.51,26.75,74846700,17.88,17.40,17.16,16.85,18.27,19.39,20.69,16.87,16.87,16.69,0,0,-0.03,-0.02,
MRO,5.09,23.24,63014100,4.40,4.30,4.26,4.57,5.23,5.54,5.89,4.20,4.55,5.27,0,0,-0.0039,-0.0080,
OXY,12.23,22.18,60311800,10.45,10.18,10.14,11.35,14.13,15.47,16.95,9.96,11.03,14.01,0,0,-0.05,-0.05,
INTC,45.60,0.46,48446600,45.61,46.40,47.57,50.06,52.18,52.70,53.09,48.78,49.84,53.61,0,0,-0.43,-0.29,
JPM,116.90,13.54,47766100,105.51,103.56,102.18,100.21,100.60,101.24,101.98,101.54,99.79,99.17,0,0,0.08,0.08,
MSFT,218.39,-2.38,44333600,216.09,214.35,213.40,210.82,203.63,200.38,197.03,214.08,212.51,206.26,0,0,-0.25,-0.10,
KO,52.57,6.31,33437900,50.04,49.77,49.68,49.28,48.95,48.99,49.07,49.69,49.52,48.09,0,0,-0.05,-0.03,
KMI,12.30,7.14,31594200,11.97,12.07,12.23,12.90,13.83,14.19,14.52,12.34,12.92,14.01,0,0,-0.04,-0.03,
LUV,43.89,9.70,30100700,40.79,40.36,40.00,38.56,38.03,38.32,38.78,40.04,38.70,36.28,0,0,0.06,0.06,
HST,13.64,30.03,29616300,11.54,11.31,11.21,11.19,11.52,11.74,11.99,11.08,11.16,11.35,0,0,-0.01,-0.01,
RCL,75.43,28.79,27706100,62.42,61.08,61.05,61.35,61.75,62.96,64.56,59.68,64.04,58.86,0,0,-0.39,-0.34,
MGM,25.30,14.90,25226900,22.52,22.10,21.88,21.31,20.80,20.88,21.04,21.63,21.97,19.94,0,0,0.0070,-0.0023,
HAL,14.38,17.10,25172600,12.96,12.78,12.73,13.18,13.57,13.81,14.13,12.63,13.74,13.65,0,0,-0.0008,-0.01,
MS,56.02,8.36,24236000,52.16,51.36,50.81,50.02,48.93,48.56,48.24,50.77,50.33,49.46,0,0,0.04,0.04,
RF,15.22,16.63,22576000,13.82,13.57,13.27,12.43,12.11,12.14,12.22,13.19,12.19,11.74,0,0,0.06,0.06,
GM,38.96,3.98,22072300,36.76,36.01,35.11,32.27,30.48,30.25,30.19,35.07,31.92,29.26,0,0,0.24,0.22,
HBAN,11.95,17.73,21582600,10.76,10.54,10.31,9.86,9.84,9.94,10.08,10.18,9.73,9.57,0,0,0.05,0.04,
MU,55.96,1.45,20947800,53.59,52.84,52.13,50.28,49.41,49.21,49.03,52.35,48.94,49.30,0,0,0.11,0.13,
KR,31.01,-6.51,20649900,32.24,32.47,32.78,33.51,33.28,33.02,32.73,32.93,34.05,33.80,0,0,-0.10,-0.08,
HPE,9.73,5.88,19907700,9.23,9.18,9.21,9.40,9.80,10.01,10.24,9.23,9.39,9.61,0,0,-0.04,-0.03,
KIM,13.57,32.26,19590900,11.32,11.13,11.12,11.44,11.98,12.27,12.57,10.97,11.57,11.96,0,0,-0.04,-0.04,
LUMN,9.25,1.76,19465600,9.10,9.15,9.31,9.84,10.18,10.32,10.45,9.31,10.17,10.14,0,0,-0.06,-0.05,
PYPL,184.72,-8.88,18949700,193.57,194.53,195.32,192.20,179.95,175.01,170.24,198.30,195.13,183.77,0,0,-0.25,-0.03,
MPC,36.47,15.48,17207300,32.38,31.43,30.84,31.62,33.72,34.67,35.70,30.12,31.63,34.47,0,0,0.03,-0.0062,
KEY,15.20,18.56,16635000,13.55,13.32,13.12,12.74,12.81,12.96,13.14,13.04,12.62,12.53,0,0,0.02,0.02,
MO,38.17,2.41,16563100,37.56,37.69,38.07,39.49,40.33,40.63,40.96,38.14,40.41,40.53,0,0,-0.15,-0.13,
LVS,57.87,9.23,16289400,52.38,50.86,49.66,48.42,48.84,49.28,49.78,48.51,48.60,48.03,0,0,0.21,0.13,
HBI,12.81,-0.31,16169500,14.51,15.27,15.77,15.67,14.74,14.50,14.34,16.39,16.04,14.31,0,0,-0.04,-0.0070,
LYV,64.36,14.85,14769600,56.67,55.39,54.82,53.83,52.93,53.02,53.26,54.31,54.84,51.65,0,0,-0.11,-0.08,
NVDA,545.23,-6.40,14537500,547.21,542.15,539.02,513.66,463.43,445.40,428.40,540.43,524.83,459.24,11,12,-1.11,-0.42,
MAR,118.30,13.87,14208800,103.46,100.67,99.11,97.28,97.53,98.43,99.57,97.68,98.43,95.01,0,0,-0.05,-0.06,
HPQ,19.73,2.49,13946800,18.96,18.83,18.83,18.70,18.39,18.35,18.35,18.88,18.92,18.05,0,0,-0.06,-0.04,
GPS,23.06,7.61,13687100,21.40,20.92,20.36,18.23,16.31,15.95,15.74,20.27,18.21,15.13,0,0,0.10,0.10,
NEE,75.51,-0.28,12863700,75.05,74.92,74.61,72.35,69.40,68.44,67.53,75.05,72.21,68.63,0,0,0.06,0.10,
PG,137.99,-3.66,12660600,140.41,140.54,140.59,138.05,133.22,131.72,130.34,141.39,139.35,131.02,0,0,-0.10,-0.01,
JNJ,146.08,2.69,12340600,141.74,141.79,142.70,145.28,145.53,145.28,144.95,142.97,147.02,146.29,0,0,-0.48,-0.37,
PBCT,12.77,21.73,12242300,11.32,11.14,10.99,10.86,11.25,11.47,11.70,10.88,10.65,11.12,0,0,0.02,0.02,
MET,44.94,11.02,11758000,40.97,40.21,39.67,38.77,38.58,38.75,39.00,39.43,38.59,38.10,0,0,0.02,0.03,
MDT,113.22,9.33,11674900,105.95,105.60,105.65,104.41,102.66,102.36,102.15,106.44,105.28,100.49,0,0,-0.14,-0.05,
ORCL,56.84,0.07,11485600,56.80,57.16,57.70,57.86,56.77,56.41,56.10,58.18,58.30,56.53,0,0,-0.21,-0.14,
MYL,15.12,3.21,11473400,14.96,14.99,15.05,15.38,15.86,16.08,16.33,15.14,15.39,15.95,0,0,-0.03,-0.02,
MA,344.56,9.86,10932800,316.90,315.67,318.84,324.89,318.45,315.49,312.48,320.11,333.88,320.01,0,0,-2.19,-1.65,
NEM,66.01,-3.13,10765900,65.67,64.63,63.88,63.53,61.85,60.85,59.77,63.01,64.19,62.96,0,0,0.05,-0.0045,
NLOK,19.46,-4.56,10757200,20.73,20.83,20.91,21.19,21.26,21.30,21.34,20.91,21.63,21.22,0,0,-0.01,-0.02,
LOW,153.45,-8.94,10747800,163.27,164.71,165.87,162.43,151.91,148.29,144.97,168.54,165.32,151.83,0,0,-0.37,-0.14,
MRK,80.50,0.17,10666800,79.35,78.99,79.15,80.45,80.77,80.84,80.90,78.69,82.04,80.52,0,0,-0.17,-0.17,
QCOM,142.61,-1.66,10660800,136.47,133.10,130.02,120.46,110.21,107.21,104.53,129.62,120.64,106.72,0,0,0.33,0.38,
KHC,30.62,-2.92,10631700,31.21,31.19,31.18,31.62,31.59,31.51,31.46,31.35,31.91,32.45,0,0,-0.02,-0.01,
