"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20","Perf(%)",
AAPL,118.69,-0.29,114457900,115.36,115.04,115.17,113.01,105.15,102.13,99.21,116.32,116.83,104.79,0,0,-0.22,-0.11,-2.00,
AMD,85.88,3.47,53829900,81.05,80.51,80.58,78.77,72.48,70.09,67.77,80.83,81.57,70.97,0,0,-0.28,-0.18,-3.21,
QQQ,294.61,0.07,40959800,285.27,283.34,282.38,277.25,265.01,260.35,255.86,284.11,280.78,266.02,0,0,-0.27,-0.06,-2.04,
INTC,45.39,-0.63,36233700,45.62,46.55,47.78,50.21,52.29,52.80,53.18,49.20,49.89,53.76,0,0,-0.39,-0.25,0.46,
SQ,198.08,13.04,27088300,175.39,173.69,172.97,161.32,141.13,134.65,128.85,176.61,163.36,137.27,10,6,-0.58,-0.07,-7.07,
BABA,299.95,4.24,25259600,298.46,300.46,300.15,286.41,266.45,260.09,254.28,304.56,287.40,260.62,6,0,0.54,0.77,-3.14,
MSFT,223.72,0.19,25231900,215.33,213.61,212.87,210.57,203.38,200.13,196.77,214.23,212.35,205.98,0,0,-0.24,-0.08,-2.38,
MRVL,45.13,8.80,23484600,40.80,40.51,40.51,39.23,36.60,35.67,34.80,41.02,39.11,36.99,0,0,-0.15,-0.06,-6.47,
TSLA,429.95,-1.86,21706000,422.68,421.50,421.71,398.22,341.32,321.35,302.82,426.20,418.05,329.74,0,0,-1.01,-0.44,-2.02,
ROKU,253.36,12.57,16526900,224.93,221.47,217.65,195.11,172.51,166.48,161.22,221.87,189.98,161.25,15,16,0.26,0.78,-12.41,
FB,293.41,-0.43,13891000,282.49,278.78,275.49,266.77,253.14,248.28,243.75,275.05,270.91,254.63,0,0,0.62,0.53,-4.99,
PINS,64.74,2.00,12283900,60.54,57.62,54.06,44.38,37.13,35.34,33.88,52.28,42.61,33.82,0,0,0.82,0.69,-10.80,
EA,119.19,-7.12,12151100,123.27,124.21,125.49,128.83,127.46,126.18,124.79,126.72,130.85,131.27,0,0,-0.33,-0.26,-1.86,
Z,118.42,14.03,11232300,101.78,99.29,98.33,92.02,81.05,77.58,74.47,97.52,93.86,78.37,0,0,-0.49,-0.29,-12.08,
EBAY,50.69,2.59,10244300,49.77,50.46,51.23,52.29,50.67,49.80,48.93,52.49,53.16,52.65,0,0,-0.19,-0.10,-4.68,
NVDA,582.48,2.84,9583700,547.87,541.59,538.37,512.59,462.05,444.01,427.01,541.62,523.45,457.68,12,13,-1.17,-0.38,-6.40,
BA,157.74,0.41,8995600,154.57,155.57,157.51,163.05,173.66,179.91,186.94,159.23,163.96,169.77,0,0,-0.64,-0.45,13.71,
AMAT,70.53,0.83,8639700,65.32,63.75,62.72,61.40,60.21,59.72,59.20,62.54,61.15,60.97,0,0,-0.03,0.01,1.09,
PYPL,202.73,-0.89,8075100,196.52,196.32,196.43,192.45,179.87,174.87,170.06,199.14,195.24,183.48,0,0,-0.14,0.06,-8.88,
ORCL,56.80,0.25,7510400,56.78,57.22,57.79,57.90,56.76,56.41,56.09,58.42,58.26,56.50,0,0,-0.20,-0.13,0.07,
QCOM,145.01,-0.28,7278500,134.43,131.37,128.70,119.71,109.66,106.71,104.08,128.82,120.16,106.21,0,0,0.30,0.37,-1.66,
