"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
AAPL,116.32,-2.00,154050500,115.60,115.24,115.28,113.12,105.34,102.32,99.41,115.92,116.86,105.09,0,0,-0.23,-0.13,
QQQ,288.59,-2.04,86237300,286.10,284.14,282.97,277.62,265.40,260.74,256.25,283.81,281.05,266.50,0,0,-0.28,-0.09,
AMD,83.12,-3.21,58505700,81.57,80.91,80.82,78.92,72.65,70.27,67.95,80.77,81.60,71.20,0,0,-0.26,-0.18,
BA,179.36,13.71,48658000,160.77,159.23,159.59,163.59,173.76,179.90,186.85,159.83,163.98,170.15,0,0,-0.62,-0.46,
INTC,45.60,0.46,48446600,45.61,46.40,47.57,50.06,52.18,52.70,53.09,48.78,49.84,53.61,0,0,-0.43,-0.29,
MSFT,218.39,-2.38,44333600,216.09,214.35,213.40,210.82,203.63,200.38,197.03,214.08,212.51,206.26,0,0,-0.25,-0.10,
DIS,142.59,11.87,35607300,129.36,127.33,126.36,125.54,124.02,123.80,123.74,125.82,127.60,123.32,0,0,-0.07,-0.08,
TSLA,421.26,-2.02,34705700,422.33,421.46,421.67,398.97,342.64,322.73,304.21,425.14,419.57,331.89,0,0,-1.09,-0.54,
FB,278.77,-4.99,25059700,281.56,278.78,275.80,267.16,253.56,248.70,244.16,275.21,271.20,255.03,0,0,0.63,0.55,
BABA,290.53,-3.14,22507300,296.48,298.93,299.24,286.54,266.85,260.51,254.71,303.77,288.01,261.23,6,0,0.35,0.63,
PINS,57.75,-10.80,19593700,59.85,57.64,54.41,44.82,37.47,35.65,34.16,52.96,43.00,34.14,0,0,0.87,0.73,
EBAY,48.32,-4.68,19384900,49.41,50.13,50.95,52.16,50.64,49.78,48.92,52.14,53.03,52.69,0,0,-0.23,-0.14,
PYPL,184.72,-8.88,18949700,193.57,194.53,195.32,192.20,179.95,175.01,170.24,198.30,195.13,183.77,0,0,-0.25,-0.03,
ZM,413.24,-17.37,17975800,469.78,480.32,485.25,437.07,360.70,337.25,316.28,504.79,436.88,338.00,16,18,-0.57,0.87,
MRVL,42.21,-6.47,15182900,41.15,40.77,40.67,39.33,36.69,35.76,34.89,40.95,39.25,37.10,0,0,-0.15,-0.07,
SQ,184.08,-7.07,14954300,177.56,175.29,174.03,162.07,141.84,135.33,129.50,176.55,164.06,138.12,10,6,-0.62,-0.14,
NVDA,545.23,-6.40,14537500,547.21,542.15,539.02,513.66,463.43,445.40,428.40,540.43,524.83,459.24,11,12,-1.11,-0.42,
ERIC,12.20,0.25,13369100,11.86,11.73,11.57,11.19,10.67,10.49,10.33,11.54,11.25,10.67,0,0,0.05,0.04,
NEE,75.51,-0.28,12863700,75.05,74.92,74.61,72.35,69.40,68.44,67.53,75.05,72.21,68.63,0,0,0.06,0.10,
JNJ,146.08,2.69,12340600,141.74,141.79,142.70,145.28,145.53,145.28,144.95,142.97,147.02,146.29,0,0,-0.48,-0.37,
ROKU,221.91,-12.41,11624700,224.17,221.54,218.06,195.99,173.32,167.24,161.93,221.88,191.23,162.13,14,15,0.15,0.67,
ORCL,56.84,0.07,11485600,56.80,57.16,57.70,57.86,56.77,56.41,56.10,58.18,58.30,56.53,0,0,-0.21,-0.14,
QCOM,142.61,-1.66,10660800,136.47,133.10,130.02,120.46,110.21,107.21,104.53,129.62,120.64,106.72,0,0,0.33,0.38,
NFLX,470.50,-8.59,10406600,493.66,496.09,499.50,499.03,479.94,471.21,462.49,504.88,504.38,486.20,10,7,-2.11,-1.29,
AMAT,71.30,1.09,10151300,66.81,64.91,63.54,61.72,60.40,59.88,59.34,62.87,61.21,61.09,0,0,0.0098,0.03,
TSM,89.03,-2.60,8973400,88.80,88.10,87.31,82.74,75.82,73.59,71.54,87.64,83.33,73.56,0,0,0.05,0.12,
CRM,259.28,-0.33,8772200,252.24,250.25,249.84,241.20,223.40,217.76,212.70,250.52,247.62,217.61,0,0,-0.81,-0.47,
