"Symbol","Last","Chg(%)","Vol","ema7","ema12","ema20","ema60","ema120","ema144","ema169","ma20","ma60","ma120","slopeema12","slopeema20","d20_slp_of_ema12","d20_slp_of_ema20",
TSLA,421.26,-2.02,34705700,422.33,421.46,421.67,398.97,342.64,322.73,304.21,425.14,419.57,331.89,7,8,-1.09,-0.54,
SQ,184.08,-7.07,14954300,177.56,175.29,174.03,162.07,141.84,135.33,129.50,176.55,164.06,138.12,12,13,-0.62,-0.14,
BNTX,104.80,13.91,14592400,93.10,90.64,88.13,79.66,71.26,68.28,65.39,89.19,75.68,70.89,10,7,0.18,0.38,
NVDA,545.23,-6.40,14537500,547.21,542.15,539.02,513.66,463.43,445.40,428.40,540.43,524.83,459.24,12,13,-1.11,-0.42,
ROKU,221.91,-12.41,11624700,224.17,221.54,218.06,195.99,173.32,167.24,161.93,221.88,191.23,162.13,15,17,0.15,0.67,
AMZN,3143.74,-5.06,7167100,3199.57,3196.05,3197.96,3160.94,2988.99,2916.23,2845.19,3219.16,3220.10,3033.30,15,15,-5.65,-2.83,
JKS,62.49,-4.35,5321400,63.85,63.57,61.66,47.65,36.92,34.51,32.58,65.99,42.34,30.58,16,18,0.42,0.77,
FVRR,154.07,-18.48,4999600,164.49,162.78,160.41,141.66,116.52,108.79,101.93,164.15,141.03,110.24,14,15,-0.09,0.37,
COST,365.00,-5.36,4367200,373.76,372.81,370.85,357.82,342.86,338.30,334.02,373.92,356.92,336.56,14,13,0.21,0.50,
TMO,484.99,-8.09,4191300,498.48,491.93,482.76,451.46,419.56,409.66,400.59,481.45,447.47,411.68,20,19,2.06,1.97,
ENPH,117.08,-4.45,3376200,112.96,109.94,106.39,91.34,77.24,73.10,69.35,107.83,88.07,72.31,14,15,0.33,0.60,
EV,64.31,3.93,3086900,62.11,61.23,59.23,50.76,45.85,44.96,44.34,61.33,47.55,42.94,10,7,0.49,0.63,
GOOGL,1761.42,0.10,2670000,1709.69,1671.05,1631.89,1561.64,1509.58,1492.12,1475.50,1616.34,1557.74,1514.62,16,14,7.48,6.08,
NOW,501.96,-6.21,2397400,510.31,507.82,504.89,482.93,448.25,436.04,424.42,509.13,484.02,447.53,15,16,-0.06,0.47,
GOOG,1763.00,0.07,2265300,1712.57,1674.72,1636.11,1565.73,1512.66,1494.89,1477.98,1621.26,1563.02,1516.45,16,14,7.51,6.12,
LRCX,416.28,1.68,1934300,389.38,378.39,369.24,351.54,335.19,329.23,323.35,367.37,346.26,336.68,14,14,0.53,0.73,
TTD,761.37,-7.08,1628700,688.05,658.34,632.03,554.59,483.84,462.63,443.44,630.00,535.43,471.43,20,20,1.96,2.98,
ANTM,322.41,2.90,1617600,309.50,303.82,298.31,285.24,278.80,277.58,276.69,298.12,280.78,276.66,14,12,0.61,0.77,
OKTA,217.39,-6.80,1499900,222.61,222.54,222.91,217.47,204.13,198.72,193.32,226.30,216.82,209.00,11,12,-0.91,-0.39,
MYOK,224.41,0.00,1452900,223.98,222.49,216.25,176.77,143.72,135.25,128.03,222.97,163.51,130.77,20,20,1.35,2.07,
COUP,285.56,-6.24,1449100,287.08,286.48,287.02,284.70,267.98,260.18,252.26,291.84,287.98,279.31,14,11,-0.88,-0.34,
EXAS,123.16,-0.65,1352600,123.19,120.72,116.36,102.58,95.09,93.67,92.62,114.88,95.39,92.45,10,11,1.13,1.06,
ISRG,773.45,5.39,1127900,726.68,719.95,717.27,700.76,666.63,655.37,645.22,722.16,709.64,660.89,13,13,-1.43,-0.56,
GNRC,220.54,-5.36,1113200,222.68,219.27,214.65,195.09,171.61,164.38,157.81,213.76,196.74,163.58,12,9,0.95,0.95,
SOXL,338.93,-3.82,1110100,312.66,300.81,292.19,266.89,241.96,235.45,229.93,293.29,265.94,231.58,15,16,-0.48,0.23,
NVCR,125.73,-0.40,1084100,122.61,122.45,121.92,109.39,96.23,93.14,90.57,125.33,107.21,86.75,12,14,-0.37,0.09,
AVLR,153.84,-9.32,979400,156.52,154.60,151.86,140.47,128.62,124.66,120.92,154.02,136.76,129.26,15,12,0.40,0.62,
HUBS,345.57,-9.07,976600,333.73,324.32,316.94,294.57,265.83,256.80,248.72,314.26,298.50,261.35,13,12,0.29,0.47,
MELI,1330.72,-10.44,961700,1347.75,1320.81,1287.32,1185.21,1073.77,1035.92,1000.57,1296.64,1174.83,1080.06,20,20,7.12,7.45,
ALGN,476.99,-0.18,957200,468.91,452.09,427.48,365.53,325.91,316.14,308.15,416.13,348.89,314.44,13,12,7.74,6.21,
HUM,422.99,-2.21,955100,428.32,427.30,425.83,416.44,402.45,397.01,391.59,428.90,415.68,404.71,13,12,0.03,0.35,
